ticker,code,is_etf,in_0050_constituents,in_0052_constituents,in_hot30,include_for_neon_upload
0050.TW,0050,True,False,False,False,True
0052.TW,0052,True,False,False,False,True
2002.TW,2002,False,False,False,True,True
2207.TW,2207,False,False,False,True,True
2303.TW,2303,False,True,True,True,True
2308.TW,2308,False,True,False,True,True
2317.TW,2317,False,True,True,True,True
2327.TW,2327,False,False,True,False,True
2330.TW,2330,False,True,True,True,True
2345.TW,2345,False,True,False,False,True
2357.TW,2357,False,False,False,True,True
2379.TW,2379,False,False,False,True,True
2382.TW,2382,False,False,True,True,True
2383.TW,2383,False,True,True,False,True
2412.TW,2412,False,False,False,True,True
2454.TW,2454,False,True,True,True,True
2603.TW,2603,False,False,False,True,True
2609.TW,2609,False,False,False,True,True
2615.TW,2615,False,False,False,True,True
2618.TW,2618,False,False,False,True,True
2880.TW,2880,False,False,False,True,True
2881.TW,2881,False,False,False,True,True
2882.TW,2882,False,False,False,True,True
2883.TW,2883,False,False,False,True,True
2884.TW,2884,False,False,False,True,True
2885.TW,2885,False,False,False,True,True
2886.TW,2886,False,False,False,True,True
2891.TW,2891,False,True,False,True,True
2892.TW,2892,False,False,False,True,True
3017.TW,3017,False,False,True,False,True
3037.TW,3037,False,True,True,True,True
3045.TW,3045,False,False,False,True,True
3231.TW,3231,False,False,False,True,True
3711.TW,3711,False,True,True,True,True
5880.TW,5880,False,False,False,True,True
6505.TW,6505,False,False,False,True,True
