ticker,code,is_etf,in_0050_constituents_wantgoo,in_0052_constituents_wantgoo,in_hot30,include_for_neon_upload
0050.TW,0050,True,False,False,False,True
0052.TW,0052,True,False,False,False,True
1216.TW,1216,False,True,False,False,True
1301.TW,1301,False,True,False,False,True
1303.TW,1303,False,True,False,False,True
2002.TW,2002,False,True,False,True,True
2059.TW,2059,False,True,False,False,True
2207.TW,2207,False,True,False,True,True
2301.TW,2301,False,True,True,False,True
2303.TW,2303,False,True,True,True,True
2308.TW,2308,False,True,False,True,True
2313.TW,2313,False,False,True,False,True
2317.TW,2317,False,True,True,True,True
2324.TW,2324,False,False,True,False,True
2327.TW,2327,False,True,True,False,True
2330.TW,2330,False,True,True,True,True
2344.TW,2344,False,True,True,False,True
2345.TW,2345,False,True,False,False,True
2347.TW,2347,False,False,True,False,True
2353.TW,2353,False,False,True,False,True
2354.TW,2354,False,False,True,False,True
2356.TW,2356,False,False,True,False,True
2357.TW,2357,False,True,True,True,True
2360.TW,2360,False,True,False,False,True
2368.TW,2368,False,True,True,False,True
2376.TW,2376,False,False,True,False,True
2377.TW,2377,False,False,True,False,True
2379.TW,2379,False,False,True,True,True
2382.TW,2382,False,True,True,True,True
2383.TW,2383,False,True,True,False,True
2385.TW,2385,False,False,True,False,True
2395.TW,2395,False,True,True,False,True
2408.TW,2408,False,True,True,False,True
2409.TW,2409,False,False,True,False,True
2412.TW,2412,False,True,False,True,True
2449.TW,2449,False,True,True,False,True
2451.TW,2451,False,False,True,False,True
2454.TW,2454,False,True,True,True,True
2474.TW,2474,False,False,True,False,True
2603.TW,2603,False,True,False,True,True
2609.TW,2609,False,False,False,True,True
2615.TW,2615,False,False,False,True,True
2618.TW,2618,False,False,False,True,True
2880.TW,2880,False,True,False,True,True
2881.TW,2881,False,True,False,True,True
2882.TW,2882,False,True,False,True,True
2883.TW,2883,False,True,False,True,True
2884.TW,2884,False,True,False,True,True
2885.TW,2885,False,True,False,True,True
2886.TW,2886,False,True,False,True,True
2887.TW,2887,False,True,False,False,True
2890.TW,2890,False,True,False,False,True
2891.TW,2891,False,True,False,True,True
2892.TW,2892,False,True,False,True,True
3005.TW,3005,False,False,True,False,True
3008.TW,3008,False,True,True,False,True
3017.TW,3017,False,True,True,False,True
3034.TW,3034,False,False,True,False,True
3036.TW,3036,False,False,True,False,True
3037.TW,3037,False,False,True,True,True
3044.TW,3044,False,False,True,False,True
3045.TW,3045,False,True,False,True,True
3189.TW,3189,False,False,True,False,True
3231.TW,3231,False,True,True,True,True
3443.TW,3443,False,False,True,False,True
3481.TW,3481,False,False,True,False,True
3533.TW,3533,False,False,True,False,True
3653.TW,3653,False,True,True,False,True
3661.TW,3661,False,True,True,False,True
3665.TW,3665,False,False,True,False,True
3702.TW,3702,False,False,True,False,True
3706.TW,3706,False,False,True,False,True
3711.TW,3711,False,True,True,True,True
4904.TW,4904,False,True,False,False,True
4938.TW,4938,False,False,True,False,True
4958.TW,4958,False,False,True,False,True
5269.TW,5269,False,False,True,False,True
5434.TW,5434,False,False,True,False,True
5880.TW,5880,False,True,False,True,True
6176.TW,6176,False,False,True,False,True
6191.TW,6191,False,False,True,False,True
6239.TW,6239,False,False,True,False,True
6415.TW,6415,False,False,True,False,True
6505.TW,6505,False,True,False,True,True
6515.TW,6515,False,False,True,False,True
6526.TW,6526,False,False,True,False,True
6531.TW,6531,False,False,True,False,True
6669.TW,6669,False,True,True,False,True
6770.TW,6770,False,False,True,False,True
6789.TW,6789,False,False,True,False,True
6805.TW,6805,False,False,True,False,True
6919.TW,6919,False,True,False,False,True
7769.TW,7769,False,True,True,False,True
8046.TW,8046,False,False,True,False,True
8210.TW,8210,False,False,True,False,True
